Starting Column	Variable Name	Field Length
447	ADTHINK	2
449	ADMOVE	2
451	MISTMNT	1
452	ADANXEV	1
453	CIMEMLOS	1
454	CINOADLT	1
455	CIRBIAGE	2
457	CIHOWOFT	1
458	CIASSIST	1
459	CIINTFER	1
460	CIFAMCAR	1
461	CIHCPROF	1
462	CIMEDS	1
463	CIDIAGAZ	1
464	SCNTMONY	1
465	SCNTMEAL	1
466	SCNTPAID	1
467	SCNTWRK1	2
469	SCNTLPAD	1
470	SCNTLWK1	2
472	WHRTST9	2
474	HIVRDTS2	1
475	EMTSUPRT	1
476	LSATISFY	1
477	ACEDEPRS	1
478	ACEDRINK	1
479	ACEDRUGS	1
480	ACEPRISN	1
481	ACEDIVRC	1
482	ACEPUNCH	1
483	ACEHURT	1
484	ACESWEAR	1
485	ACETOUCH	1
486	ACETTHEM	1
487	ACEHVSEX	1
488	RCSBIRTH	6
494	RCSGENDR	1
495	RCHISLAT	1
496	RCSRACE	6
502	RCSBRACE	1
503	RCSRLTN2	1
504	CASTHDX2	1
505	CASTHNO2	1
506	FLUSHCH2	1
507	RCVFVCH4	6
513	CHIMRCVE	2
515	CALLBACK	1
516	ADLTCHLD	1
531	CTELNUM1	1
532	CELLFON2	1
533	CADULT	1
534	PVTRESD2	1
535	CSTATE	1
536	RSPSTATE	2
538	LANDLINE	1
539	PCTCELL	3
891	QSTVER	2
893	QSTLANG	2
995	MSCODE	1
996	_STSTR	5
1001	_STRWT	10
1011	_RAW	10
1021	_WT2	10
1031	_RAWRAKE	10
1041	_WT2RAKE	10
1051	_REGION	2
1053	_IMPAGE	2
1055	_IMPRACE	2
1057	_IMPNPH	1
1064	O_STATE	2
1244	CRACEASC	6
1250	_CRACE	2
1252	_RAWCH	10
1262	_WT2CH	10
1272	CHILDAGE	3
1363	_CLCPM01	3
1366	_CLCPM02	3
1369	_CLCPM03	3
1372	_CLCPM04	3
1375	_CLCPM05	3
1378	_CLLCPWT	10
1439	_LLCPM01	3
1442	_LLCPM02	3
1445	_LLCPM03	3
1448	_LLCPM04	3
1451	_LLCPM05	3
1454	_LLCPM06	3
1457	_LLCPM07	3
1460	_LLCPM08	3
1463	_LLCPM09	3
1466	_LLCPM10	3
1469	_LLCPM11	3
1472	_LLCPM12	3
