Starting Column	Variable Name	Field Length
417	RREMTSM2	1
418	MISNERVS	1
419	MISHOPLS	1
420	MISRSTLS	1
421	MISDEPRD	1
422	MISEFFRT	1
423	MISWTLES	1
424	MISNOWRK	2
426	MISTMNT	1
427	MISTRHLP	1
428	MISPHLPF	1
479	SCNTMONY	1
480	SCNTMEAL	1
481	SCNTPAID	1
482	SCNTWRK1	2
484	SCNTLPAD	1
485	SCNTLWK1	2
487	SCNTVOT1	1
494	RCSGENDR	1
529	RCSRLTN2	1
530	CASTHDX2	1
531	CASTHNO2	1
532	EMTSUPRT	1
533	LSATISFY	1
580	CTELNUM1	1
581	CELLFON2	1
582	CADULT	1
583	PVTRESD2	1
584	CCLGHOUS	1
585	CSTATE	1
588	LANDLINE	1
589	PCTCELL	3
592	QSTVER	2
594	QSTLANG	2
1306	MSCODE	1
1307	_STSTR	6
1313	_STRWT	10
1343	_RAWRAKE	10
1353	_WT2RAKE	10
1367	_IMPRACE	2
1369	_IMPNPH	1
1373	_IMPEDUC	1
1374	_IMPMRTL	1
1375	_IMPHOME	1
1560	_CHISPNC	1
1617	_CRACE1	2
1619	_IMPCAGE	1
1620	_IMPCRAC	1
1621	_IMPCSEX	1
1748	_CLLCPWT	10
1884	_DUALUSE	1
1885	_DUALCOR	10
1895	_LLCPWT2	10
1953	_LLCPWT	10
2101	_RFHLTH	1
2102	_HCVU651	1
2103	_RFHYPE5	1
2104	_CHOLCHK	1
2105	_RFCHOL	1
2106	_LTASTH1	1
2107	_CASTHM1	1
2108	_ASTHMS1	1
2109	_DRDXAR1	1
2166	_PRACE1	2
2168	_MRACE1	2
2172	_HISPANC	1
2173	_RACE	1
2174	_RACEG21	1
2175	_RACEGR3	1
2176	_RACE_G1	1
2177	_AGEG5YR	2
2179	_AGE65YR	1
2180	_AGE_G	1
2181	HTIN4	3
2184	HTM4	3
2187	WTKG3	5
2192	_BMI5	4
2196	_BMI5CAT	1
2197	_RFBMI5	1
2198	_CHLDCNT	1
2199	_EDUCAG	1
2200	_INCOMG	1
2201	_SMOKER3	1
2202	_RFSMOK3	1
2203	DRNKANY5	1
2204	DROCDY3_	3
2207	_RFBING5	1
2208	_DRNKDY4	4
2212	_DRNKMO4	4
2216	_RFDRHV4	1
2217	_RFDRMN4	1
2218	_RFDRWM4	1
2219	FTJUDA1_	4
2223	FRUTDA1_	4
2227	BEANDAY_	4
2231	GRENDAY_	4
2235	ORNGDAY_	4
2239	VEGEDA1_	4
2243	_MISFRTN	1
2244	_MISVEGN	1
2245	_FRTRESP	1
2246	_VEGRESP	1
2247	_FRUTSUM	6
2253	_VEGESUM	6
2259	_FRTLT1	1
2260	_VEGLT1	1
2261	_FRT16	1
2262	_VEG23	1
2263	_FRUITEX	1
2264	_VEGETEX	1
2265	_FRTLT1	1
2266	_VEGLT1	1
2267	_TOTINDA	1
2268	METVL11_	3
2271	METVL21_	3
2274	MAXVO2_	5
2279	FC60_	5
2284	ACTIN11_	1
2285	ACTIN21_	1
2286	PADUR1_	3
2289	PADUR2_	3
2292	PAFREQ1_	5
2297	PAFREQ2_	5
2302	_MINAC11	5
2307	_MINAC21	5
2312	STRFREQ_	5
2317	PAMISS1_	1
2318	PAMIN11_	5
2323	PAMIN21_	5
2328	PA1MIN_	5
2333	PAVIG11_	5
2338	PAVIG21_	5
2343	PA1VIGM_	5
2348	_PACAT1	1
2349	_PAINDX1	1
2350	_PA150R2	1
2351	_PA300R2	1
2352	_PA30021	1
2353	_PASTRNG	1
2354	_PAREC1	1
2355	_PASTAE1	1
2356	_LMTACT1	1
2357	_LMTWRK1	1
2358	_LMTSCL1	1
2359	_RFSEAT2	1
2360	_RFSEAT3	1
2361	_FLSHOT6	1
2362	_PNEUMO2	1
2363	_AIDTST3	1
2364	_AGE80	2
