Starting Column	Variable Name	Field Length
1	_STATE	2
16	FMONTH	2
18	IDATE	8
18	IMONTH	2
20	IDAY	2
22	IYEAR	4
31	DISPCODE	4
35	SEQNO	10
35	_PSU	10
62	CTELENUM	1
63	PVTRESD1	1
64	COLGHOUS	1
65	STATERES	1
66	CELLFON3	1
67	LADULT	1
68	NUMADULT	2
70	NUMMEN	2
72	NUMWOMEN	2
80	GENHLTH	1
81	PHYSHLTH	2
83	MENTHLTH	2
85	POORHLTH	2
87	HLTHPLN1	1
88	PERSDOC2	1
89	MEDCOST	1
90	CHECKUP1	1
91	SLEPTIM1	2
93	BPHIGH4	1
94	BPMEDS	1
95	BLOODCHO	1
96	CHOLCHK	1
97	TOLDHI2	1
98	CVDINFR4	1
99	CVDCRHD4	1
100	CVDSTRK3	1
101	ASTHMA3	1
102	ASTHNOW	1
103	CHCSCNCR	1
104	CHCOCNCR	1
105	CHCCOPD1	1
106	HAVARTH3	1
107	ADDEPEV2	1
108	CHCKIDNY	1
109	DIABETE3	1
146	VETERAN3	1
147	MARITAL	1
148	CHILDREN	2
150	EDUCA	1
151	EMPLOY1	1
152	INCOME2	2
154	WEIGHT2	4
158	HEIGHT3	4
170	NUMHHOL2	1
171	NUMPHON2	1
172	CPDEMO1	1
173	CPDEMO4	3
176	INTERNET	1
177	RENTHOM1	1
178	SEX	1
179	PREGNANT	1
180	QLACTLM2	1
181	USEEQUIP	1
182	BLIND	1
183	DECIDE	1
184	DIFFWALK	1
185	DIFFDRES	1
186	DIFFALON	1
187	SMOKE100	1
188	SMOKDAY2	1
189	STOPSMK2	1
190	LASTSMK2	2
192	USENOW3	1
193	ALCDAY5	3
196	AVEDRNK2	2
198	DRNK3GE5	2
200	MAXDRNKS	2
202	FRUITJU1	3
205	FRUIT1	3
208	FVBEANS	3
211	FVGREEN	3
214	FVORANG	3
217	VEGETAB1	3
220	EXERANY2	1
221	EXRACT11	2
223	EXEROFT1	3
226	EXERHMM1	3
229	EXRACT21	2
231	EXEROFT2	3
234	EXERHMM2	3
237	STRENGTH	3
240	LMTJOIN3	1
241	ARTHDIS2	1
242	ARTHSOCL	1
243	JOINPAIN	2
245	SEATBELT	1
246	FLUSHOT6	1
247	FLSHTMY2	6
253	TETANUS	1
254	PNEUVAC3	1
255	HIVTST6	1
256	HIVTSTD3	6
262	WHRTST10	2
270	PDIABTST	1
271	PREDIAB1	1
272	DIABAGE2	2
274	INSULIN	1
275	BLDSUGAR	3
278	FEETCHK2	3
281	DOCTDIAB	2
283	CHKHEMO3	2
285	FEETCHK	2
287	EYEEXAM	1
288	DIABEYE	1
289	DIABEDU	1
290	PAINACT2	2
292	QLMENTL2	2
294	QLSTRES2	2
296	QLHLTH2	2
298	MEDICARE	1
299	HLTHCVRG	14
313	DELAYMED	1
314	DLYOTHER	25
339	NOCOV121	1
340	LSTCOVRG	1
341	DRVISITS	2
343	MEDSCOST	1
344	CARERCVD	1
345	MEDBILLS	1
346	SSBSUGAR	3
349	SSBFRUT2	3
352	WTCHSALT	1
353	LONGWTCH	3
356	DRADVISE	1
357	ASTHMAGE	2
359	ASATTACK	1
360	ASERVIST	2
362	ASDRVIST	2
364	ASRCHKUP	2
366	ASACTLIM	3
369	ASYMPTOM	1
370	ASNOSLEP	1
371	ASTHMED3	1
372	ASINHALR	1
373	HAREHAB1	1
374	STREHAB1	1
375	CVDASPRN	1
376	ASPUNSAF	1
377	RLIVPAIN	1
378	RDUCHART	1
379	RDUCSTRK	1
380	ARTTODAY	1
381	ARTHWGT	1
382	ARTHEXER	1
383	ARTHEDU	1
384	IMFVPLAC	2
386	HPVADVC2	1
387	HPVADSHT	2
389	HADMAM	1
390	HOWLONG	1
391	PROFEXAM	1
392	LENGEXAM	1
393	HADPAP2	1
394	LASTPAP2	1
395	HADHYST2	1
396	BLDSTOOL	1
397	LSTBLDS3	1
398	HADSIGM3	1
399	HADSGCO1	1
400	LASTSIG3	1
401	PCPSAAD2	1
402	PCPSADI1	1
403	PCPSARE1	1
404	PSATEST1	1
405	PSATIME	1
406	PCPSARS1	1
407	PCPSADE1	1
408	PCDMDECN	4
412	RRCLASS2	1
413	RRCOGNT2	1
414	RRATWRK2	1
415	RRHCARE3	1
416	RRPHYSM2	1
