Starting Column	Variable Name	Field Length
423	ADLTCHLD	1
424	CTELNUM1	1
425	CELLFON2	1
426	CADULT	1
427	PVTRESD2	1
428	CCLGHOUS	1
429	CSTATE	1
430	RSPSTATE	2
432	LANDLINE	1
433	PCTCELL	3
451	STATEQUE	250
821	QSTVER	2
823	QSTLANG	2
835	CPCOUNTY	45
885	MSCODE	1
886	_STSTR	5
891	_STRWT	10
901	_RAW	10
911	_WT2	10
921	_RAWRAKE	10
931	_WT2RAKE	10
941	_REGION	2
943	_IMPAGE	2
945	_IMPRACE	2
947	_IMPNPH	1
951	_IMPEDUC	1
952	_IMPMRTL	1
953	_IMPHOME	1
954	O_STATE	2
956	_MRG01	3
959	_MRG02	3
962	_MRG03	3
965	_MRG04	3
968	_MRG05	3
971	_MRG06	3
974	_MRG07	3
977	_MRG08	3
980	_MRG09	3
983	_MRG10	3
986	_MRG11	3
989	_LANDWT	10
999	_MRG01V1	3
1002	_MRG02V1	3
1005	_MRG03V1	3
1008	_MRG04V1	3
1011	_MRG05V1	3
1014	_MRG06V1	3
1017	_MRG07V1	3
1020	_MRG08V1	3
1023	_MRG09V1	3
1026	_MRG10V1	3
1029	_MRG11V1	3
1032	_LNDWTV1	10
1042	_MRG01V2	3
1045	_MRG02V2	3
1048	_MRG03V2	3
1051	_MRG04V2	3
1054	_MRG05V2	3
1057	_MRG06V2	3
1060	_MRG07V2	3
1063	_MRG08V2	3
1066	_MRG09V2	3
1069	_MRG10V2	3
1072	_MRG11V2	3
1075	_LNDWTV2	10
1085	_MRG01V3	3
1088	_MRG02V3	3
1091	_MRG03V3	3
1094	_MRG04V3	3
1097	_MRG05V3	3
1100	_MRG06V3	3
1103	_MRG07V3	3
1106	_MRG08V3	3
1109	_MRG09V3	3
1112	_MRG10V3	3
1115	_MRG11V3	3
1118	_LNDWTV3	10
1128	CRACEORG	6
1134	CRACEASC	6
1140	_CRACE	2
1142	_RAWCH	10
1152	_WT2CH	10
1162	CHILDAGE	3
1165	_CMRG01	3
1168	_CMRG02	3
1171	_CMRG03	3
1174	_CMRG04	3
1177	_CLANDWT	10
1187	_CMG01V1	3
1190	_CMG02V1	3
1193	_CMG03V1	3
1196	_CMG04V1	3
1199	_CLDWTV1	10
1209	_CMG01V2	3
1212	_CMG02V2	3
1215	_CMG03V2	3
1218	_CMG04V2	3
1221	_CLDWTV2	10
1231	_CMG01V3	3
1234	_CMG02V3	3
1237	_CMG03V3	3
1240	_CMG04V3	3
1243	_CLDWTV3	10
1253	_CLCPM01	3
1256	_CLCPM02	3
1259	_CLCPM03	3
1262	_CLCPM04	3
1265	_CLCPM05	3
1268	_CLLCPWT	10
1278	_CLCM1V1	3
1281	_CLCM2V1	3
1284	_CLCM3V1	3
1287	_CLCM4V1	3
1290	_CLCM5V1	3
1293	_CLCWTV1	10
1303	_CLCM1V2	3
1306	_CLCM2V2	3
1309	_CLCM3V2	3
1312	_CLCM4V2	3
1315	_CLCM5V2	3
1318	_CLCWTV2	10
1328	_CLCM1V3	3
1331	_CLCM2V3	3
1334	_CLCM3V3	3
1337	_CLCM4V3	3
1340	_CLCM5V3	3
1343	_CLCWTV3	10
1353	_RAWHH	10
1363	_WT2HH	10
1373	NPHH	3
1376	NAHH	3
1379	NCHH	3
1382	_HHOLDWT	10
1392	ORGSEQNO	10
1402	_DUALUSE	1
1403	_DUALCOR	10
1413	_LLCPM01	3
1416	_LLCPM02	3
1419	_LLCPM03	3
1422	_LLCPM04	3
1425	_LLCPM05	3
1428	_LLCPM06	3
1431	_LLCPM07	3
1434	_LLCPM08	3
1437	_LLCPM09	3
1440	_LLCPM10	3
1443	_LLCPM11	3
1446	_LLCPM12	3
1449	_LLCPWT	10
1459	_LCM01V1	3
1462	_LCM02V1	3
1465	_LCM03V1	3
1468	_LCM04V1	3
1471	_LCM05V1	3
1474	_LCM06V1	3
1477	_LCM07V1	3
1480	_LCM08V1	3
1483	_LCM09V1	3
1486	_LCM10V1	3
1489	_LCM11V1	3
1492	_LCM12V1	3
1495	_LCPWTV1	10
1505	_LCM01V2	3
1508	_LCM02V2	3
1511	_LCM03V2	3
1514	_LCM04V2	3
1517	_LCM05V2	3
1520	_LCM06V2	3
1523	_LCM07V2	3
1526	_LCM08V2	3
1529	_LCM09V2	3
1532	_LCM10V2	3
1535	_LCM11V2	3
1538	_LCM12V2	3
1541	_LCPWTV2	10
1551	_LCM01V3	3
1554	_LCM02V3	3
1557	_LCM03V3	3
1560	_LCM04V3	3
1563	_LCM05V3	3
1566	_LCM06V3	3
1569	_LCM07V3	3
1572	_LCM08V3	3
1575	_LCM09V3	3
1578	_LCM10V3	3
1581	_LCM11V3	3
1584	_LCM12V3	3
1587	_LCPWTV3	10
1597	_RFHLTH	1
1598	_HCVU651	1
1599	_TOTINDA	1
1600	_LTASTH1	1
1601	_CASTHM1	1
1602	_ASTHMS1	1
1603	_DRDXAR1	1
1604	_EXTETH2	1
1605	_ALTETH2	1
1606	_DENVST2	1
1607	MRACEORG	6
1613	MRACEASC	6
1619	_PRACE	2
1621	_MRACE	2
1623	RACE2	1
1624	_RACEG2	1
1625	_RACEGR2	1
1626	_RACE_G	1
1627	_CNRACE	1
1628	_CNRACEC	1
1629	_AGEG5YR	2
1631	_AGE65YR	1
1632	_AGE_G	1
1633	HTIN4	3
1636	HTM4	3
1639	WTKG3	5
1644	_BMI5	4
1648	_BMI5CAT	1
1649	_RFBMI5	1
1650	_CHLDCNT	1
1651	_EDUCAG	1
1652	_INCOMG	1
1653	_SMOKER3	1
1654	_RFSMOK3	1
1655	DRNKANY5	1
1656	DROCDY3_	3
1659	_RFBING5	1
1660	_DRNKDY4	4
1664	_DRNKMO4	4
1668	_RFDRHV4	1
1669	_RFDRMN4	1
1670	_RFDRWM4	1
1671	_FLSHOT5	1
1672	_PNEUMO2	1
1673	_RFSEAT2	1
1674	_RFSEAT3	1
1675	_RFMAM2Y	1
1676	_MAM502Y	1
1677	_RFPAP32	1
1678	_RFPSA21	1
1679	_RFBLDS2	1
1680	_RFSIGM2	1
1681	_AIDTST3	1
