Starting Column	Variable Name	Field Length
1	_STATE	2
3	_GEOSTR	2
5	_DENSTR2	1
6	PRECALL	1
7	REPNUM	6
13	REPDEPTH	2
15	FMONTH	2
17	IDATE	8
17	IMONTH	2
19	IDAY	2
21	IYEAR	4
25	INTVID	5
30	DISPCODE	4
34	SEQNO	10
34	_PSU	10
44	NATTMPTS	2
46	NRECSEL	6
52	NRECSTR	9
61	CTELENUM	1
62	PVTRESID	1
63	COLGHOUS	1
64	CELLFON	1
65	LADULT	1
66	NUMADULT	2
68	NUMMEN	2
70	NUMWOMEN	2
73	GENHLTH	1
74	PHYSHLTH	2
76	MENTHLTH	2
78	POORHLTH	2
80	HLTHPLN1	1
81	PERSDOC2	1
82	MEDCOST	1
83	CHECKUP1	1
84	EXERANY2	1
85	CVDINFR4	1
86	CVDCRHD4	1
87	CVDSTRK3	1
88	ASTHMA3	1
89	ASTHNOW	1
90	CHCSCNCR	1
91	CHCOCNCR	1
92	CHCCOPD1	1
93	HAVARTH3	1
94	ADDEPEV2	1
95	CHCKIDNY	1
96	CHCVISN1	1
97	DIABETE3	1
98	LASTDEN3	1
99	RMVTETH3	1
100	AGE	2
102	HISPANC2	1
103	MRACE	6
109	ORACE2	1
110	VETERAN3	1
111	MARITAL	1
112	CHILDREN	2
114	EDUCA	1
115	EMPLOY	1
116	INCOME2	2
118	WEIGHT2	4
122	HEIGHT3	4
126	CTYCODE1	3
134	NUMHHOL2	1
135	NUMPHON2	1
136	CPDEMO1	1
137	CPDEMO4	3
140	RENTHOM1	1
141	SEX	1
142	PREGNANT	1
143	QLACTLM2	1
144	USEEQUIP	1
145	SMOKE100	1
146	SMOKDAY2	1
147	STOPSMK2	1
148	LASTSMK2	2
150	USENOW3	1
151	ALCDAY5	3
154	AVEDRNK2	2
156	DRNK3GE5	2
158	MAXDRNKS	2
160	FLUSHOT5	1
161	FLSHTMY2	6
167	IMFVPLAC	2
169	PNEUVAC3	1
170	FALL12MN	2
172	FALLINJ2	2
174	SEATBELT	1
175	DRNKDRI2	2
177	HADMAM	1
178	HOWLONG	1
179	PROFEXAM	1
180	LENGEXAM	1
181	HADPAP2	1
182	LASTPAP2	1
183	HADHYST2	1
184	PCPSAAD1	1
185	PCPSADI1	1
186	PCPSARE1	1
187	PSATEST1	1
188	PSATIME	1
189	PCPSARS1	1
190	BLDSTOOL	1
191	LSTBLDS3	1
192	HADSIGM3	1
193	HADSGCO1	1
194	LASTSIG3	1
195	HIVTST6	1
196	HIVTSTD3	6
202	HIVRISK3	1
210	PDIABTST	1
211	PREDIAB1	1
212	DIABAGE2	2
214	INSULIN	1
215	BLDSUGAR	3
218	FEETCHK2	3
221	DOCTDIAB	2
223	CHKHEMO3	2
225	FEETCHK	2
227	EYEEXAM	1
228	DIABEYE	1
229	DIABEDU	1
230	PAINACT2	2
232	QLMENTL2	2
234	QLSTRES2	2
236	QLHLTH2	2
238	VIDFCLT2	1
239	VIREDIF2	1
240	VIPRFVS2	1
241	VINOCRE2	2
243	VIEYEXM2	1
244	VIINSUR2	1
245	VICTRCT4	1
246	VIGLUMA2	1
247	VIMACDG2	1
248	SSBSUGR1	3
251	SSBFRUT1	3
254	SSBCALRI	2
256	NUMBURN2	1
257	QLREST2	2
259	SLEPTIME	2
261	SLEPSNOR	1
262	SLEPDAY	2
264	SLEPDRIV	1
265	FRUITJU1	3
268	FRUIT1	3
271	FVBEANS	3
274	FVGREEN	3
277	FVORANG	3
280	VEGETAB1	3
283	ASTHMAGE	2
285	ASATTACK	1
286	ASERVIST	2
288	ASDRVIST	2
290	ASRCHKUP	2
292	ASACTLIM	3
295	ASYMPTOM	1
296	ASNOSLEP	1
297	ASTHMED3	1
298	ASINHALR	1
299	WRKHCF1	1
300	DIRCONT1	1
301	DRHPAD1	1
302	HAVHPAD	1
303	SHINGLE1	1
304	TNSARCV	1
305	TNSARCNT	1
306	TNSASHT1	1
307	HPVADVC2	1
308	HPVADSHT	2
310	PCPSADEC	1
311	PCDMDECN	5
316	CNCRDIFF	1
317	CNCRAGE	2
319	CNCRTYP1	2
321	CSRVTRT1	1
322	CSRVDOC1	2
324	CSRVSUM	1
325	CSRVRTRN	1
326	CSRVINST	1
327	CSRVINSR	1
328	CSRVDEIN	1
329	CSRVCLIN	1
330	CSRVPAIN	1
331	CSRVCTL1	1
332	RRCLASS2	1
333	RRCOGNT2	1
334	RRATWRK2	1
335	RRHCARE3	1
336	RRPHYSM2	1
337	RREMTSM2	1
338	MISNERVS	1
339	MISHOPLS	1
340	MISRSTLS	1
341	MISDEPRD	1
342	MISEFFRT	1
343	MISWTLES	1
344	MISNOWRK	2
346	MISTMNT	1
347	MISTRHLP	1
348	MISPHLPF	1
349	SCNTMONY	1
350	SCNTMEAL	1
351	SCNTPAID	1
352	SCNTWRK1	2
354	SCNTLPAD	1
355	SCNTLWK1	2
357	GPWELPR3	1
358	GP3DYWTR	1
359	GP3DYFD1	1
360	GP3DYPRS	1
361	GPBATRAD	1
362	GPFLSLIT	1
363	GPEMRCM1	1
364	GPEMRIN1	1
365	GPVACPL1	1
366	GPMNDEVC	1
367	GPNOTEV1	2
369	VHCOMBAT	1
370	VHDRPTSD	1
371	VHDRTBI	1
372	VHCOUNSL	1
373	VHTAKLIF	1
374	VHSUICID	1
375	COPDTEST	1
376	COPDQOL	1
377	COPDDOC	1
378	COPDHOSP	1
379	COPDMEDS	2
381	ACEDEPRS	1
382	ACEDRINK	1
383	ACEDRUGS	1
384	ACEPRISN	1
385	ACEDIVRC	1
386	ACEPUNCH	1
387	ACEHURT	1
388	ACESWEAR	1
389	ACETOUCH	1
390	ACETTHEM	1
391	ACEHVSEX	1
392	RCSBIRTH	6
398	RCSGENDR	1
399	RCHISLAT	1
400	RCSRACE	6
406	RCSBRACE	1
407	RCSRLTN2	1
408	CASTHDX2	1
409	CASTHNO2	1
410	FLUSHCH2	1
411	RCVFVCH4	6
417	WHRTST8	2
419	HIVRDTST	1
420	EMTSUPRT	1
421	LSATISFY	1
422	CALLBACK	1
